,0
map01240,323
map01220,243
map01250,204
map01200,200
map00860,171
map01230,163
map00230,153
map00520,146
map00906,142
map00950,138
map00904,137
map00999,134
map01210,130
map01232,130
map01057,127
map00140,122
map00624,114
map01212,110
map00680,105
map00980,104
map00627,103
map00270,102
map00380,101
map00350,100
map00240,99
map00941,95
map00330,95
map00541,92
map00362,90
map00564,90
map00909,87
map00361,86
map00630,83
map00051,82
map00901,82
map00620,82
map00998,81
map00982,80
map00940,78
map00040,77
map00524,77
map00500,77
map00760,75
map00130,73
map00260,72
map00590,72
map00960,71
map00053,71
map00943,71
map00310,70
map00790,69
map00650,69
map00470,68
map00061,68
map00942,67
map00902,66
map00100,66
map00640,64
map00360,62
map00966,61
map00562,61
map00522,60
map00523,60
map00996,58
map00720,57
map00030,56
map00626,56
map00440,56
map00601,55
map00010,55
map00900,55
map00480,54
map00052,53
map00460,53
map00340,53
map00920,52
map00120,52
map00907,51
map00280,51
map00983,51
map01040,50
map00944,50
map00625,50
map00623,50
map00540,49
map00400,48
map00561,48
map00903,47
map00071,46
map00250,46
map00552,46
map00404,46
map01059,45
map00997,44
map00600,44
map00905,41
map00750,39
map00510,37
map00660,37
map00300,37
map00403,37
map00910,36
map00622,36
map00062,35
map00770,35
map00410,35
map00364,35
map00525,35
map00908,34
map00633,33
map00730,33
map00945,33
map00970,32
map00946,32
map00565,32
map00670,31
map00592,31
map00232,31
map00220,31
map00401,31
map01051,30
map00621,30
map00405,30
map00981,29
map00830,29
map00254,29
map00332,29
map00740,29
map00513,27
map00930,27
map00020,27
map00430,27
map00791,27
map00261,27
map00710,26
map00780,26
map00965,26
map00073,26
map00550,25
map00604,25
map00290,25
map00531,24
map00521,24
map00643,23
map00450,23
map00363,23
map00253,20
map00514,19
map00603,18
map00984,18
map00785,17
map00311,17
map01056,17
map00591,16
map00333,15
map01053,14
map00642,13
map01055,13
map00515,13
map00512,12
map00563,11
map00365,9
map00534,9
map00571,9
map00402,8
map00331,8
map00532,8
map00572,5
