medium	description	compound	name
M1409	medium for MOB	cobalt2	Co2+
M1409	medium for MOB	cl	Chloride
M1409	medium for MOB	h	H+
M1409	medium for MOB	ca2	Calcium
M1409	medium for MOB	cu2	Copper
M1409	medium for MOB	so4	Sulfate
M1409	medium for MOB	zn2	Zinc
M1409	medium for MOB	pi	Phosphate
M1409	medium for MOB	h2o	H2O
M1409	medium for MOB	o2	O2
M1409	medium for MOB	k	Potassium
M1409	medium for MOB	mg2	Magnesium
M1409	medium for MOB	na1	Sodium
M1409	medium for MOB	fe2	Fe2+
M1409	medium for MOB	no3	Nitrate
M1409	medium for MOB	mobd	Molybdate
M1409	medium for MOB	ni2	Nickel
M1409	medium for MOB	ch4	Methane
M1409	medium for MOB	co2	CO2
M1409	medium for MOB	n2	Nitrogen
M1409	medium for MOB	meoh	Methanol
